시설번호,지역코드,시설일련번호,시도명,시군구명,수용시설명,법정동코드,행정동코드,상세주소,시설면적,경도,위도,X좌표,Y좌표
1554,1130500000,59,서울특별시,강북구,벽오산어린이공원,1130510100,1130553400,서울특별시 강북구 미아동 258-56,1250,127.030201,37.627646,202665.9596,558671.7994
1555,1130500000,60,서울특별시,강북구,세일어린이공원,1130510100,1130553400,서울특별시 강북구 덕릉로30길 30(미아동),849,127.025254,37.633556,202229.0915,559327.6231
1556,1147000000,132,서울특별시,양천구,목마공원,1147010200,1147051000,서울특별시 양천구 목동 910,11228,126.885531,37.538171,189883.1438,548746.7542
1557,1130500000,77,서울특별시,강북구,솔샘어린이공원,1130510100,1130555500,서울특별시 강북구 솔샘로65길 19(미아동),1264.1,127.027039,37.618151,202387.1403,557617.8247
1558,1130500000,78,서울특별시,강북구,응달마을어린이공원,1130510100,1130553100,서울특별시 강북구 미아동 860-116,866,127.024332,37.618216,202148.1502,557624.9348
1559,1130500000,79,서울특별시,강북구,고갯마루공원,1130510100,1130553100,서울특별시 강북구 미아동 811-13,2185,127.016974,37.616485,201498.56,557432.7039
1560,1130500000,80,서울특별시,강북구,은모루어린이공원,1130510300,1130563500,서울특별시 강북구 도봉로95길 48(수유동),918,127.026819,37.642397,202367.0004,560308.8438
1561,1171000000,103,서울특별시,송파구,일신여자상업고등학교운동장,1171010400,1171059000,서울특별시 송파구 송파대로38길 8(송파동),13369,127.113965,37.501214,210077.208,544644.9526
1562,1168000000,149,서울특별시,강남구,휘문중학교 운동장,1168010600,1168061000,서울특별시 강남구 역삼로 541(대치동),2500,127.062898,37.505572,205561.3651,545124.3576
1563,1171000000,100,서울특별시,송파구,배명고등학교운동장,1171010600,1171061000,서울특별시 송파구 삼학사로 11(삼전동),4006,127.095825,37.498315,208473.5911,544321.4727
1564,1174000000,113,서울특별시,강동구,강일고등학교운동장,1174011000,1174051500,서울특별시 강동구 아리수로98길 40(강일동),4274,127.177388,37.564179,215672.1696,551642.0189
1565,1117000000,82,서울특별시,용산구,서빙고근린공원,1117012700,1117061000,서울특별시 용산구 용산동5가 24-2,11880,126.97153,37.524709,197483.3174,547246.8416
1566,1117000000,83,서울특별시,용산구,성촌공원,1117012900,1117064000,서울특별시 용산구 이촌로 124(이촌동),8800,126.953045,37.52814,195849.5731,547628.3255
1567,1135000000,108,서울특별시,노원구,서울수암초등학교,1135010600,1135061900,서울특별시 노원구 중계로12길 9(중계동),13380,127.0815,37.6482,207192.4071,560955.7381
1568,1135000000,109,서울특별시,노원구,불암고등학교,1135010600,1135061900,서울특별시 노원구 중계로 155(중계동),12628,127.0802,37.649,207077.6057,561044.4311
1569,1174000000,115,서울특별시,강동구,강동중학교운동장,1174011000,1174051500,"서울특별시 강동구 아리수로97길 68(강일동, 강일리버파크2단지아파트)",4044,127.176126,37.56938,215559.6134,552219.0026
1570,1117000000,80,서울특별시,용산구,용산가족공원,1117013500,1117062500,서울특별시 용산구 서빙고로 137(용산동6가),62260,126.982394,37.522593,198443.6912,547011.79
1571,1129000000,55,서울특별시,성북구,서울일신초등학교 운동장,1129013500,1129070500,서울특별시 성북구 월곡로 74(종암동),2360,127.040118,37.599135,203542.7369,555507.7229
1572,1129000000,60,서울특별시,성북구,늘푸른-솔향기 어린이 공원,1129013400,1129062000,서울특별시 성북구 길음동 1184-36,7405,127.021137,37.608361,201866.3125,556531.1032
1573,1129000000,61,서울특별시,성북구,한울 어린이 공원,1129013300,1129062000,서울특별시 성북구 정릉동 169-16,1965,127.013909,37.605865,201228.1957,556253.9282
1574,1129000000,66,서울특별시,성북구,오동공원 놀이마당,1129013600,1129068500,서울특별시 성북구 하월곡동 228-4,10034,127.039377,37.609257,203476.8386,556631.1352
1575,1129000000,59,서울특별시,성북구,솔숲 어린이 공원,1129013300,1129062000,서울특별시 성북구 정릉동 170-62,1947,127.015117,37.604934,201334.8646,556150.6164
1576,1130500000,71,서울특별시,강북구,오얏골공원,1130510200,1130559000,서울특별시 강북구 번동 228,5070,127.034285,37.634049,203026.2297,559382.5446
1577,1130500000,73,서울특별시,강북구,오현어린이공원,1130510200,1130560800,"서울특별시 강북구 한천로105길 23(번동, 번동1단지주공아파트)",3661,127.046469,37.623733,204102.2398,558238.0943
1578,1130500000,74,서울특별시,강북구,늘푸른공원,1130510100,1130553100,서울특별시 강북구 미아동 797-9,646,127.019685,37.625438,201737.7001,558426.4047
